sample_id	clock_like_number	subclonal_count	timing_late_clonal_count	timing_early_clonal_count	timing_na_clonal_count	timing_subclonal_count
CPCT02120008T	868	31	187	481	200	0
CPCT02010768T	350	28	8	32	291	19
CPCT02360011T	524	1	146	278	100	0
CPCT02180070T	272	47	0	13	228	31
CPCT02030220T	719	10	287	268	164	0
CPCT02410001T	447	1	9	32	406	0
CPCT02210059T	1179	21	431	207	541	0
CPCT02040123T	489	22	2	24	402	61
CPCT02310019T	638	13	18	32	581	7
CPCT02020347T	385	20	91	218	76	0
CPCT02120073T	469	3	48	379	42	0
CPCT02160012T	1073	8	384	273	416	0
CPCT02270021T	924	4	322	390	212	0
CPCT02180052T	414	35	9	43	332	30
CPCT02290018T	480	68	115	242	123	0
CPCT02020238T	405	16	0	17	373	15
CPCT02040134T	546	2	99	234	215	1
CPCT02260008T	672	14	260	95	303	14
CPCT02080250T	722	22	177	145	368	32
CPCT02010003T	606	15	46	45	515	0
CPCT02380034T	375	6	8	27	336	4
CPCT02040086T	742	128	37	27	566	112
CPCT02080031T	353	0	0	7	346	0
CPCT02240005T	358	6	99	130	129	0
CPCT02300009T	637	8	188	193	256	0
CPCT02140044T	1621	9	717	224	680	0
CPCT02210073T	480	25	31	68	365	16
CPCT02100102T	831	0	109	489	233	0
CPCT02030367T	872	34	106	122	611	33
CPCT02290008T	446	7	13	32	393	8
CPCT02020493TII	465	32	23	35	383	24
CPCT02050109T	532	80	NA	NA	NA	NA
CPCT02340058T	1264	17	545	288	431	0
CPCT02270028T	995	126	207	284	504	0
CPCT02100021T	490	23	168	143	156	23
CPCT02020194T	521	35	39	103	345	34
CPCT02240008T	420	26	29	45	322	24
CPCT02100093T	1247	46	42	14	1191	0
CPCT02090062T	460	0	89	176	195	0
CPCT02100115T	450	72	0	9	372	69
CPCT02350008T	843	9	242	196	405	0
CPCT02290003T	617	33	35	101	481	0
CPCT02010509T	700	37	242	237	221	0
CPCT02040282T	1101	215	485	240	180	196
CPCT02030224T	1255	49	460	372	423	0
CPCT02020407T	469	87	109	106	182	72
CPCT02030271T	990	40	NA	NA	NA	NA
CPCT02020545T	1217	34	397	189	599	32
CPCT02050120T	740	0	165	496	79	0
CPCT02010643T	479	16	8	61	400	10
CPCT02080005TII	408	0	15	57	336	0
CPCT02050032T	505	36	6	21	480	1
CPCT02100125T	476	17	6	18	452	0
CPCT02190009T	915	1	210	350	355	0
CPCT02120024T	415	5	11	15	389	0
CPCT02290035T	656	22	197	178	281	0
CPCT02070344T	407	0	144	104	159	0
CPCT02060059T	464	0	45	384	35	0
CPCT02020666T	368	25	0	14	354	0
CPCT02100035T	475	0	117	102	256	0
CPCT02180049T	394	184	0	19	202	173
CPCT02080127T	428	10	131	85	151	61
CPCT02080069T	588	27	0	37	515	36
CPCT02080070TII	1092	1	613	406	73	0
CPCT02100023T	630	1	117	214	299	0
CPCT02010639T	710	100	15	47	549	99
CPCT02010825T	394	0	0	12	382	0
CPCT02220041T	964	6	271	129	564	0
CPCT02160037T	572	51	63	52	424	36
CPCT02170014T	403	44	3	17	271	112
CPCT02010382TII	384	0	NA	NA	NA	NA
CPCT02080029TII	506	170	NA	NA	NA	NA
CPCT02010320T	520	3	93	280	147	0
CPCT02140091TII	937	51	296	380	261	0
CPCT02050138T	684	158	9	35	514	126
CPCT02120117T	680	24	459	95	102	24
CPCT02080261T	768	37	NA	NA	NA	NA
CPCT02320003T	507	17	32	39	382	54
CPCT02010940T	482	5	9	17	456	0
CPCT02030274T	468	2	54	140	274	0
CPCT02020299T	1164	1	372	205	587	0
CPCT02080143T	564	49	15	60	363	126
CPCT02040013T	557	2	286	150	121	0
CPCT02040036T	384	4	18	26	336	4
CPCT02340060T	859	12	285	81	493	0
CPCT02010628T	590	61	11	32	547	0
CPCT02080056T	2096	4	1094	653	349	0
CPCT02110023T	654	3	195	307	152	0
CPCT02380036T	486	7	13	19	454	0
CPCT02160003T	1271	27	693	199	379	0
CPCT02270009T	263	41	0	7	212	44
CPCT02010846T	475	29	15	47	392	21
CPCT02020791T	335	6	11	16	308	0
CPCT02150017T	399	0	136	74	189	0
CPCT02010682T	663	15	473	122	68	0
CPCT02330104T	377	128	NA	NA	NA	NA
CPCT02080006T	475	62	5	22	381	67
CPCT02120052T	719	19	26	65	628	0
CPCT02080019T	608	0	160	200	248	0
CPCT02270008T	387	0	75	259	53	0
CPCT02020247T	431	43	0	5	386	40
CPCT02020721T	675	68	124	166	272	113
CPCT02020186TII	671	19	336	176	159	0
CPCT02080047T	633	232	3	62	333	235
CPCT02010886T	980	187	30	16	775	159
CPCT02190019T	516	8	1	41	474	0
CPCT02010535T	487	50	0	3	484	0
CPCT02020599T	1209	32	325	198	686	0
CPCT02020597TIII	806	6	279	96	431	0
CPCT02010933T	436	131	10	14	292	120
CPCT02030237T	1040	17	367	254	419	0
CPCT02010900T	358	5	1	18	339	0
CPCT02450003T	596	32	0	23	546	27
CPCT02100117T	522	7	173	154	195	0
CPCT02080173T	243	0	41	192	10	0
CPCT02020857T	400	14	16	21	352	11
CPCT02080228T	919	22	201	212	506	0
CPCT02360022T	374	40	0	8	366	0
CPCT02010593T	499	0	31	55	413	0
CPCT02250010T	1017	19	280	147	487	103
CPCT02270006T	950	379	9	26	537	378
CPCT02010528T	293	14	1	6	272	14
CPCT02080014TII	834	63	204	112	432	86
CPCT02290057T	774	15	1	73	689	11
CPCT02050210T	292	26	1	32	233	26
CPCT02020744T	863	0	367	361	135	0
CPCT02220060T	441	77	20	47	302	72
CPCT02210044T	299	39	0	24	236	39
CPCT02330027T	669	11	342	136	191	0
CPCT02050074T	401	34	18	60	290	33
CPCT02060011T	609	25	156	149	231	73
CPCT02030258T	1303	79	536	114	581	72
CPCT02040078T	442	0	48	183	211	0
CPCT02070386T	949	21	92	57	783	17
CPCT02120099T	482	0	NA	NA	NA	NA
CPCT02010288TII	456	50	0	21	435	0
CPCT02300043T	620	6	237	223	160	0
CPCT02120047TII	691	7	224	185	282	0
CPCT02030329T	220	9	0	15	192	13
CPCT02180057T	812	23	246	241	325	0
CPCT02010337TII	512	8	0	28	484	0
CPCT02080106T	463	65	10	17	338	98
CPCT02030289TIII	738	219	12	86	409	231
CPCT02050288T	697	4	208	85	404	0
CPCT02210028T	584	12	20	47	503	14
CPCT02010891T	269	2	0	17	252	0
CPCT02300001T	512	4	70	352	90	0
CPCT02140004TII	1199	1	479	348	372	0
CPCT02290030T	594	0	191	149	254	0
CPCT02080049T	494	36	140	158	155	41
CPCT02010520T	706	0	364	129	213	0
CPCT02290048T	344	5	128	168	32	16
CPCT02080128T	751	198	32	67	472	189
CPCT02030478T	795	1	266	206	323	0
CPCT02080063T	610	9	246	234	115	15
CPCT02230128T	474	14	9	18	447	0
CPCT02290010T	1084	1	508	538	38	0
CPCT02020664T	602	6	68	39	495	0
CPCT02330076T	38992	285	24147	2867	11978	0
CPCT02300016T	517	70	119	59	266	73
CPCT02330067T	532	75	0	9	450	73
CPCT02050160T	1023	28	294	517	143	69
CPCT02110050T	510	48	9	37	464	0
CPCT02010461T	954	0	302	605	47	0
CPCT02020795T	913	1	181	223	509	0
CPCT02210035T	398	11	18	33	325	22
CPCT02220063T	492	2	122	125	245	0
CPCT02020341T	273	4	3	33	239	1
CPCT02330061T	364	13	0	27	293	44
CPCT02080095T	578	26	15	72	466	25
CPCT02010678T	415	15	1	11	403	0
