sample_id	clock_like_number	subclonal_count	X1p	X1q	X2p	X2q	X3p	X3q	X4p	X4q	X5p	X5q	X6p	X6q	X7p	X7q	X8p	X8q	X9p	X9q	X10p	X10q	X11p	X11q	X12p	X12q	X13q	X14q	X15q	X16p	X16q	X17p	X17q	X18p	X18q	X19p	X19q	X20p	X20q	X21q	X22q	Xp	Xq	genome	clock_like_number_ploidy_corrected
CPCT02010003T	606	15	2	3	2	2	1	2	1	2	2	2	2	1	2	2	1	5	1	2	2	2	1	1	1	2	2	1	2	2	1	1	4	2	1	2	2	2	2	2	2	2	2	2	303
CPCT02010022T	1254	17	1	2	2	2	1	4	1	1	3	2	2	2	2	2	1	2	1	2	2	2	2	2	4	2	1	2	2	2	2	1	2	2	2	2	2	3	2	2	3	1	1	2	627
CPCT02010035T	843	277	2	2	2	2	1	2	1	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	2	3	2	2	2	2	1	2	2	2	421.5
CPCT02010037T	407	13	1	3	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	2	1	1	2	203.5
CPCT02010043T	1193	31	2	3	2	2	1	3	1	1	4	1	2	2	2	2	2	4	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	2	2	596.5
CPCT02010050T	1282	13	3	2	3	3	4	3	4	1	3	2	4	3	3	2	2	4	2	2	4	4	2	2	3	3	2	3	2	2	3	3	3	1	1	3	6	2	4	3	3	2	2	3	427.333333333333
CPCT02010063T	331	98	2	4	1	2	1	2	2	2	2	2	3	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	3	2	2	2	1	2	2	1	2	2	165.5
CPCT02010122T	1293	9	4	7	6	4	3	3	4	4	6	3	7	4	8	8	2	9	4	4	5	5	5	6	6	6	3	7	3	5	5	3	5	7	6	4	8	11	3	5	4	3	3	3	431
CPCT02010123T	655	260	2	3	2	2	1	2	2	1	3	1	2	1	2	2	1	4	1	1	2	2	1	2	2	2	2	2	1	1	1	1	2	2	1	1	1	2	2	2	2	1	1	2	327.5
CPCT02010134T	888	0	3	3	3	3	2	2	2	3	3	2	3	3	2	2	2	5	2	2	4	4	4	3	2	3	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	1	1	2	444
