SampleID	clonal_early_minor_major	clonal_late_minor_major	clonal_early_all_regions	clonal_late_all_regions
CPCT02010003T	22	46	45	46
CPCT02010022T	32	62	59	64
CPCT02010031T	0	0	4	0
CPCT02010035T	11	13	28	13
CPCT02010037T	0	0	2	0
CPCT02010043T	14	48	77	48
CPCT02010050T	241	306	404	315
CPCT02010063T	5	2	10	2
CPCT02010110TIII	0	1	1	1
CPCT02010122T	543	446	625	446
CPCT02010123T	3	2	10	4
CPCT02010134T	279	105	453	105
CPCT02010173T	1	6	3	6
CPCT02010214TIII	625	264	673	267
CPCT02010227T	0	0	0	0
CPCT02010233T	110	64	298	64
CPCT02010238T	0	0	19	0
CPCT02010240T	34	30	51	30
CPCT02010246T	12	16	71	16
CPCT02010249T	176	121	313	121
CPCT02010250T	145	174	196	175
CPCT02010252T	0	0	0	0
CPCT02010255T	10	10	43	10
CPCT02010255TII	15	12	69	12
CPCT02010256TII	355	625	454	625
CPCT02010257T	16	8	53	8
CPCT02010260T	41	166	97	173
CPCT02010262T	3	8	6	8
CPCT02010263T	0	0	0	0
CPCT02010266T	276	84	317	84
CPCT02010267TII	0	0	0	0
CPCT02010267TIII	150	193	226	193
CPCT02010268T	3530	1899	5108	1904
CPCT02010269T	0	0	0	0
CPCT02010272T	268	259	375	259
CPCT02010273T	474	195	483	195
CPCT02010276T	2	10	10	10
CPCT02010276TII	3	10	13	10
CPCT02010281T	141	568	214	568
CPCT02010288T	0	0	5	0
CPCT02010288TII	0	0	21	0
CPCT02010289T	7	12	40	12
CPCT02010290T	1	3	27	3
CPCT02010291TII	3	2	31	2
CPCT02010292TII	309	264	335	264
CPCT02010298T	19	16	54	16
CPCT02010299T	0	0	1	0
CPCT02010300T	0	0	3	0
CPCT02010304T	0	0	5	0
CPCT02010312TII	0	1	1	1
CPCT02010313T	0	0	0	0
CPCT02010320T	222	93	280	93
CPCT02010324T	71	257	141	257
CPCT02010325T	0	0	0	0
CPCT02010326TII	87	210	129	213
CPCT02010329T	75	35	104	37
CPCT02010333TII	66	129	105	133
CPCT02010334T	0	0	0	0
CPCT02010335T	18	2	43	2
CPCT02010336T	189	171	303	171
CPCT02010337T	0	0	28	0
CPCT02010337TII	0	0	28	0
CPCT02010338T	85	60	87	60
CPCT02010340T	0	0	0	0
CPCT02010344TII	17	22	55	22
CPCT02010346T	96	104	116	104
CPCT02010347T	5	7	20	7
CPCT02010347TII	5	6	15	6
CPCT02010349T	0	0	6	0
CPCT02010350T	0	0	9	0
CPCT02010351T	104	142	184	150
