cancer_type	cancer_type_code	n_met	n_prim	slope_primary	intercept_primary	rvalue_res_prim	pvalue_res_prim	slope_met	intercept_met	rvalue_res_met	pvalue_res_met	fold_change_met	std_fold_change_met	mean_diff_residual	std_diff_residual	pvalue_diff_distributions	median_offset_ages
Breast carcinoma	BRCA	600	188	5.800684417943849	73.93048148346946	0.41638051955926914	2.8155302959645885e-07	4.456117879155925	353.3787568623578	0.17937064711256018	0.0001305000815153758	1.4846964331434687	0.12066737180517818	197.95939424022632	16.069824075061543	1.828175319124173e-27	-23.520315699541484
Glioblastoma multiforme	GBM	57	38	35.23506124068305	-312.0017895278852	0.5741975528283694	0.0013972071927521625	11.042325939840577	949.1261228716611	0.16245666055067629	0.29794860326152056	0.9214643503934487	0.15050358957752027	-205.09846946969478	289.14374184079713	0.4833362711479421	1.3735381601996224
Colorectal carcinoma	COREAD	367	40	15.78825453059	1285.3594858518416	0.27375775710505035	0.14323431108547624	20.39653249002908	874.4738731083182	0.3672256225368506	3.3234071533007763e-10	0.9387951028910274	0.029969884794476126	-131.59603944418527	55.07664660755768	0.6641916350953588	7.778426397399379
Esophageal carcinoma	ESCA	79	50	14.913320079522865	568.0540755467196	0.2427588854623704	0.1419558693810941	11.412821770041676	549.1170875214513	0.22830078793469524	0.08201011192409065	0.844169798302438	0.009726477696885593	-231.088400721098	41.836822786860715	0.9206057129639116	19.91105660276748
Stomach carcinoma	STAD	28	42	6.52302371541502	760.3677618577075	0.1418388676114303	0.438714140153058	12.373317521494217	408.7266133017098	0.4510984219250326	0.04012195473249341	0.9984250586925963	0.06094036598870688	2.922112418499124	69.92081800270311	0.4029339127669638	3.0805561025858523
Cholangiocarcinoma	CHOL	60	24	-6.8346324700360395	1256.2765065794988	-0.11005010490720789	0.6637743301330423	2.2539282321128415	430.6712831006845	0.08166308343650087	0.5938334204533444	0.6832817893767009	0.09940328334616584	-274.7833627425184	108.62353581304374	0.6594311863329446	-50.420864809182795
Hepatocellular carcinoma	LIHC	52	279	1.9494080470428476	174.6483535301143	0.23687613304390281	0.0005539407886450355	-0.061455439351845144	389.3547251596387	-0.005852880935954455	0.971790864976432	1.3257063541440934	0.10882953345757283	92.83585730257332	24.033189532187592	9.999319040413318e-09	-33.158847122928606
Pancreas carcinoma	PAAD	94	214	10.425771121384875	293.98487278007235	0.2951219964167233	0.00015156166911206944	6.6368770390957845	593.5751471283522	0.16430360583966724	0.17409336348152052	1.0837841694078072	0.06154197116195585	69.96032996712289	45.28363571825506	0.2075624841121071	-0.8711387397938211
Pancreas neuroendocrine	PANET	29	79	2.649339750555036	56.262330553720204	0.10414878189910563	0.4324513836267456	14.144314868804665	-567.2202491386165	0.41023201098147466	0.05792253441108107	1.2487539400264023	0.6132281934001511	73.18257898945905	137.3842220289086	2.2900180180642292e-05	5.745852559617241
Cervical carcinoma	CESC	26	18	8.689538950715423	298.1647058823528	0.4716787910786185	0.08861856525884701	12.163260044930578	265.3767907781829	0.4688986334054415	0.037022032895665836	1.212486896958326	0.024042882784411444	177.74063606038493	41.516790176995855	0.013621409475828282	-12.215737359396392
Ovarian serous adenocarcinoma	OV	101	109	8.305399062438259	-1.1275736548743112	0.4313609042589827	5.210784447886973e-05	10.855572364412984	-132.34929528294765	0.5437908416441205	3.842055088441259e-07	1.035500705627708	0.05639903454996459	23.334236067364564	30.478845889319324	0.16335900930349306	-2.7319596249394067
Uterus carcinoma	UCEC	25	34	2.874231024438521	488.5646726722674	0.2837312399582635	0.1601224274303054	12.757161258664055	-17.83880267435495	0.34221378133950303	0.1515336933821801	1.1307559900286872	0.17199804897571455	92.56199339431916	118.11758334643564	0.009081295402381128	-30.048010705565645
Upper respiratory tract carcinoma	HNSC	27	41	6.109833465503569	432.0721649484535	0.23883473021053664	0.19568254615788477	1.581775220875283	566.9180193137456	0.07334535797029507	0.7586119542589734	0.8308056579525676	0.052574868086451926	-139.5819180364222	54.11788654089482	0.9603507067186059	20.60691803491465
Kidney renal clear cell carcinoma	KIRC	96	106	2.902545157427779	64.94532729308065	0.33359013195410303	0.00249550131953942	2.121672849257683	222.68901522028358	0.13877794587114436	0.2449932224316691	1.4741181225883961	0.10981076670172153	110.41809349265164	9.332733081914022	3.598629938881412e-10	-35.3764012039786
Lung adenocarcinoma	LUAD	81	18	0.4241581711461231	545.2740191535372	0.011952516525129585	0.9676518669971855	4.553166060693326	392.03825191691584	0.1389217884842522	0.2856309673280847	1.1691416277917435	0.08493406010136531	97.00713516017882	49.348565857796004	0.06205668329296588	-146.9694100509832
Lung squamous cell carcinoma	LUSC	8	10	-4.874575118966689	938.3147518694766	-0.31709791104149276	0.44409483125294097	16.81225680933852	-456.7762645914397	0.7193251804116185	0.10711198132899154	0.9104524627460407	0.39900933143006306	-80.73756626060045	259.1939958192439	0.34463884358747554	7.726797294470387
Diffuse large B-cell lymphoma	DLBCL	14	93	7.19324561533144	306.121986150999	0.44703906585129866	0.00010461681906948073	16.942507186601674	-405.07324084489426	0.4746048292695575	0.1657454934711113	0.8169719856260944	0.18116838590560858	-120.33088934315181	116.52001875139761	0.24275703007543414	0.4465341905852256
Prostate carcinoma	PRAD	348	152	5.113842667447512	92.24455209407552	0.27463864163743223	0.0031054330696574763	6.573433964741047	371.5066931018768	0.17614764071666575	0.004311197296427554	1.9294950455899817	0.10072183212830928	367.72221963165185	17.444562758598828	5.307284416628911e-47	-67.22183288230764
Skin melanoma	SKCM	84	32	3.9398490328668037	61.27948576820248	0.4464246423921242	0.028758838283836994	3.2631381899150727	67.41891575312923	0.316771947678249	0.011423898202871263	0.8852097581381658	0.009217887273481492	-34.873348375784225	8.087828963618252	0.9866021916640206	20.01368072325223
Leiomyosarcoma	LMS	29	15	4.690101371496719	91.35718545020882	0.35992487419323455	0.27692612932995186	5.667430489438268	72.49910439090513	0.37455895745117035	0.08589663002904074	1.1051487617192814	0.015836623546676178	40.3739866947296	11.680721285027436	0.09061026819255491	-5.5341055013794715
Liposarcoma	LPS	10	17	7.601825621655651	-133.42776203966014	0.5484137547383063	0.0523048294138442	10.817483189241115	-258.95869356388084	0.39470823329484483	0.33319619396611744	1.1929391342131943	0.07087914076909706	69.35740590520133	38.43249843427	0.3532457255204787	3.220032296799303
Thyroid carcinoma	THCA	19	44	2.789499682450074	-17.215134194246474	0.605523619152823	0.00018860937118568008	2.4555780532371956	134.19136747493712	0.16399876184598722	0.5753206426913529	1.9158329527174929	0.24192715995090805	131.1688271714334	3.990923231769693	2.3789905313327786e-06	-28.09505860527871
Bladder urothelial carcinoma	BLCA	64	16	-6.426289926289928	1290.1308353808354	-0.1795599916122689	0.5765675247564408	3.145797173320109	609.587899826432	0.1498082222335704	0.30949010976025654	0.8986620260026723	0.11942570094266634	-100.41644466894654	114.40248681226583	0.7242094195045062	-14.295067864653006
