	cancer_type	cohort	group	mean_dps	sd_dps
0	Bladder urothelial carcinoma	Hartwig	-res	8.234375	3.333165186047688
1	Bladder urothelial carcinoma	Hartwig	+res	8.234375	3.333165186047688
3	Bladder urothelial carcinoma	PCAWG	+res	7.608695652173912	2.7259548858199563
4	Breast carcinoma	Hartwig	-res	5.230670103092783	3.1008240427232927
5	Breast carcinoma	Hartwig	+res	6.3505154639175245	3.093105714287916
7	Breast carcinoma	PCAWG	+res	5.164179104477612	2.981259875918433
8	Cervical carcinoma	Hartwig	-res	4.026315789473684	2.573112975379876
9	Cervical carcinoma	Hartwig	+res	4.026315789473684	2.573112975379876
11	Cervical carcinoma	PCAWG	+res	3.555555555555556	2.2021973577802645
12	Cholangiocarcinoma	Hartwig	-res	5.621212121212121	3.5203371845284783
13	Cholangiocarcinoma	Hartwig	+res	5.621212121212121	3.5203371845284783
15	Cholangiocarcinoma	PCAWG	+res	4.5	2.7892651361962706
16	Colorectal carcinoma	Hartwig	-res	4.94524959742351	2.4090349045772688
17	Colorectal carcinoma	Hartwig	+res	5.718196457326893	2.377205047689749
19	Colorectal carcinoma	PCAWG	+res	6.2745098039215685	3.4297430304473187
20	Diffuse large B-cell lymphoma	Hartwig	-res	4.75	2.2213082915965963
21	Diffuse large B-cell lymphoma	Hartwig	+res	4.75	2.2213082915965963
23	Diffuse large B-cell lymphoma	PCAWG	+res	4.413461538461538	1.9187909670428869
24	Esophageal carcinoma	Hartwig	-res	7.578571428571428	2.7196800942399717
25	Esophageal carcinoma	Hartwig	+res	7.578571428571428	2.7196800942399717
27	Esophageal carcinoma	PCAWG	+res	6.470588235294117	2.6030578872060564
28	Glioblastoma multiforme	Hartwig	-res	5.3125	1.5923926292577109
29	Glioblastoma multiforme	Hartwig	+res	5.3125	1.5923926292577109
31	Glioblastoma multiforme	PCAWG	+res	5.538461538461538	1.7297117777271729
32	Hepatocellular carcinoma	Hartwig	-res	4.384615384615385	2.4904039057703717
33	Hepatocellular carcinoma	Hartwig	+res	4.384615384615385	2.4904039057703717
35	Hepatocellular carcinoma	PCAWG	+res	2.802083333333333	2.233510034266856
36	Kidney renal clear cell carcinoma	Hartwig	-res	3.8	1.9944878168031377
