cancer_type	cancer_type_code	drug	gene	proximal_cancer_genes	label	type_alt	genomic_element	samples_mut_treatment	freq_t	samples_mut_control	freq_c	qvalue	log_qvalue	log2(odds_ratio)	significant	annotated	representative_mech	is_treatment_exclusive	is_TED	Literature	comment	is_subtype	found_in_subtype	is_target_treatment
Prostate carcinoma	PRAD	Anti_AR__GnRH	AR	AR	AR - Anti AR  GnRH (PRAD)	Amp		127	0.39197530864197533	1	0.006535947712418301	8.128138217306889e-22	21.09000891990965	6.606759023862691	True	True	True	True	True	10.1038/sj.bjc.6601127,10.1038/nrc4016		False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	PRNCR1		PRNCR1 - Anti AR  GnRH (PRAD)	Amp		116	0.35802469135802467	1	0.006535947712418301	9.896910824135609e-20	19.004500342916803	6.398088628823861	True	True	True	True	True	10.1038/nature12451		False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ESR1		ESR1 - Aromatase inhibitor (BRCA)	coding mutations		111	0.3135593220338983	2	0.009950248756218905	1.14749590302456e-19	18.940248856376325	5.512208860681224	True	True	True	True	True	10.1038/nrclinonc.2015.117		False	True	False
Breast carcinoma	BRCA	Selective_ER_modulator	ESR1		ESR1 - Selective ER modulator (BRCA)	coding mutations		98	0.24623115577889448	2	0.009950248756218905	1.3013984275590263e-14	13.885589722346941	5.0273770278931975	True	True	False	True	True	10.1038/nrclinonc.2015.117		False	True	False
Breast carcinoma	BRCA	Anti_HER2	ERBB2	ERBB2_CLTC	ERBB2 - Anti HER2 (BRCA)	Amp		52	0.6666666666666666	29	0.14427860696517414	1.5197372216704402e-14	13.81823149958448	3.55040167656795	True	True	True	False	True	10.1038/sj.onc.1203972, doi.org/10.1371/journal.pone.0026760		False	False	True
Prostate carcinoma	PRAD	Anti_AR__GnRH	TP53		TP53 - Anti AR  GnRH (PRAD)	coding mutations		132	0.4074074074074074	12	0.0784313725490196	1.0859578855257347e-12	11.96418701677151	3.0141990520714503	True	False	True	False	True			False	False	False
Prostate carcinoma	PRAD	Taxane	AR		AR - Taxane (PRAD)	coding mutations		57	0.24890829694323144	1	0.006535947712418301	2.5177482945326426e-11	10.598987689541724	5.654581413382218	True	False	True	True	True			False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	AR		AR - Anti AR  GnRH (PRAD)	coding mutations		75	0.23148148148148148	1	0.006535947712418301	3.658109135900949e-11	10.43674334193983	5.5167757830241975	True	True	False	True	True	10.1038/sj.bjc.6601127,10.1038/nrc4016		False	False	False
Lung adenocarcinoma	LUAD	Anti_EGFR	EGFR		EGFR - Anti EGFR (LUAD)	coding mutations		38	0.926829268292683	6	0.16666666666666666	3.764679967953962e-10	9.424271936876053	5.9849158868253385	True	True	True	False	True	10.1038/nrclinonc.2010.97		False	False	True
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ESR1		ESR1 - Aromatase inhibitor (BRCA ERpos)	coding mutations		94	0.3263888888888889	1	0.0125	3.6581655798490033e-09	8.436736640907915	5.258494446757581	True	True	True	True	True	10.1038/nrclinonc.2015.117		True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Selective_ER_modulator	ESR1		ESR1 - Selective ER modulator (BRCA ERpos)	coding mutations		84	0.25609756097560976	1	0.0125	9.95040207166168e-07	6.002159370110958	4.765413879070863	True	True	False	True	True	10.1038/nrclinonc.2015.117		True	False	False
Breast carcinoma	BRCA	Alkaloid	TLR7		TLR7 - Alkaloid (BRCA)	coding mutations		8	0.16666666666666666	0	0.0	2.8359250823517498e-05	4.547305246250251	11.142904787508604	True	False	True	True	True			False	True	False
Prostate carcinoma	PRAD	Taxane	TP53	TP53	TP53 - Taxane (PRAD)	Del		33	0.14410480349344978	1	0.006535947712418301	5.54461292971768e-05	4.256128766621262	4.670891144465361	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	PIK3CA		PIK3CA - Selective ER modulator (BRCA)	coding mutations		187	0.46984924623115576	58	0.2885572139303483	0.0003431277389627103	3.4645441715052323	1.1351962535053524	True	True	True	False	True	10.1007/s10555-016-9637-x.		False	True	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	SAMD8	KAT6B	KAT6B - Anti AR  GnRH (PRAD)	Amp		36	0.1111111111111111	1	0.006535947712418301	0.000368131500015753	3.4339970195603637	4.2528389936899105	True	True	True	True	True	10.1038/sj.emboj.7601499	this is KAT6B amplification peak	False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	KLLN	PTEN	PTEN - Anti AR  GnRH (PRAD)	Del		85	0.2623456790123457	14	0.0915032679738562	0.000368131500015753	3.4339970195603637	1.8167307031977298	True	True	True	False	True	10.1158/1078-0432.CCR-17-2006	this is PTEN deletion peak	False	False	False
Breast carcinoma	BRCA	mTOR_inhibitor	ZNF583		ZNF583 - mTOR inhibitor (BRCA)	Amp		10	0.14925373134328357	1	0.004975124378109453	0.000375708660567811	3.425148793774892	5.111276818923719	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Anti_HER2	ERBB2		ERBB2 - Anti HER2 (BRCA)	coding mutations		11	0.14102564102564102	2	0.009950248756218905	0.00045901404450675586	3.3381740261000563	4.030055360837668	True	True	True	True	True	10.1038/sj.onc.1203972, doi.org/10.1371/journal.pone.0026760		False	False	True
Prostate carcinoma	PRAD	Taxane	AC074323.1	KAT6B	KAT6B - Taxane (PRAD)	Amp		26	0.11353711790393013	1	0.006535947712418301	0.000541065383180458	3.2667502509031685	4.28615730823734	True	False	True	True	True			False	False	False
Ovarian serous adenocarcinoma	OV	Selective_ER_modulator	KRAS		KRAS - Selective ER modulator (OV)	coding mutations		5	0.3125	1	0.00909090909090909	0.0018651096174075988	2.729295638473931	5.630709919348643	True	False	True	True	True			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	PIK3CA		PIK3CA - Aromatase inhibitor (BRCA)	coding mutations		160	0.4519774011299435	58	0.2885572139303483	0.0024966053439054656	2.602650104228692	1.0320670626884356	True	True	False	False	True	10.1007/s10555-016-9637-x.		False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkaloid	TLR7		TLR7 - Alkaloid (BRCA ERpos)	coding mutations		6	0.20689655172413793	0	0.0	0.0037614880733614743	2.4246403108703185	9.866248611111173	True	False	True	True	True			True	False	False
